,rounded_lat_lng,cpso,name,location
1,"42.9977,-81.2363",2,"Richard Wesley Krukowski, Ganesh Harirama Ram",685 Adelaide Street North London ON N5Y 2L4
5,"43.3171,-79.8024",2,"Zaid Mohammed Ali Jaber, Jason Zhu",Joseph Brant Hospital 1245 Lakeshore Rd Burlington ON L7S 0A2
13,"43.4063,-80.5019",3,"Harkiran Kaur Mallhi, John Howard Mutrie, Steven Joseph Taylor",1187 Fischer Hallman Road Kitchener ON N2E 4H9
18,"43.4191,-80.4693",5,"Gillian Louise Hewson, Yunfei Ma, Shelley Elaine Metcalfe, Qi Wang, Maryamawit Okba Woldeyohannes",c/o Dr Gillian Hewson Suite 201- 1450 Block Line Road Kitchener ON N2C 0A5
20,"43.4201,-80.4404",2,"Paul Louis Kordish, Amin Murji",Kitchener-Waterloo Care Clinic 385 Fairway Road South Kitchener ON N2C 2N9
23,"43.4245,-80.475",2,"Janie Catherine Penhearow, Melinda Ann White",Ardelt medical clinic 155 Ardelt ave Kitchener ON N2C 2E1
24,"43.425,-80.5098",3,"Eric Earl, Karla J Kaphengst, Martha Lynn Taylor",Greenbrook Family Medical Centre Unit 7 421 Greenbrook Drive Kitchener ON N2M 4K1
26,"43.4255,-80.4123",3,"Peter Eric Kuhnert, Jane Elizabeth Logan Martin, Duncan Kenneth Schwarz",Specialized Mental Health Freeport Box 9056 3570 King Street East Kitchener ON N2A 2W1
27,"43.4256,-80.4122",4,"Melanie Carothers, Lisa Sandra DiNicolo, Michael Jonathan Koke, Janani Murali","Grand River Hospital, Freeport Site 3570 King St E Kitchener, ON N2A 2W1 Kitchener ON N2A 2W1"
29,"43.426,-80.5109",2,"Stephen Arthur Macgregor, Stephen Henry Nantes",395 Greenbrook Drive Kitchener ON N2M 4K1
32,"43.4294,-80.531",4,"Gehan Rafaat Ghally, Brian James Huth, Hany Shawky Milio, Ashraf Fekry Zaki Mourcos",Westheights Medical Clinic 203 - 10 Westheights Dr Kitchener ON N2N 2A8
43,"43.4386,-80.522",2,"Dorothy Jane Bakker, Maria Casale",Immigration Medical Examiners 751 Victoria St. S. Kitchener ON N2M 5N4
44,"43.439,-80.5213",5,"Rafaa Sobhi Zaki Atia, Fuad Fathi Elghamari, Sukhjeet Kaur Kamboj, John Scott Morlock, Sophie Eleanor Roberta Wilson",Suite B106 751 Victoria Street South Kitchener ON N2M 5N4
