,rounded_lat_lng,cpso,name,location
16,"43.418,-80.536",8,"Maha Khalil Al-Halimi, Patricia Janine Baxter, Phillip Anthony Bright, Ihab Albair Aziz Eskander, Amisha Thulasidas Kamath, Emil Ibrahim Hanna Khalil, Waseema Rehman, Elham AB Ali Youssef",Unit 15A 450 Westheights Drive Kitchener ON N2N2B9
24,"43.425,-80.511",13,"Morgan Jacqueline Brown, Amelio Orlando Cescon, Samantha Hillary Earl, Douglas Edward Findlay, Ruth Margaret Gingell, Martin David Kane, Shvan Korsheed, Kiersten Anna Luce, Thomas James O'Brien, Laura Meaghan Pellow, John David Pope, Meredith Leigh Pope, Stephanie Lynn Spadotto",Unit 7 421 Greenbrook Drive Kitchener ON N2M 4K1
25,"43.426,-80.412",7,"Melanie Carothers, Lisa Sandra DiNicolo, Michael Jonathan Koke, Peter Eric Kuhnert, Jane Elizabeth Logan Martin, Janani Murali, Duncan Kenneth Schwarz",Specialized Mental Health Freeport Box 9056 3570 King Street East Kitchener ON N2A 2W1
26,"43.426,-80.51",13,"Tracy Ann Bausmer, Karen Ann Cameron, Steven Yat Tung Chan, Patrina Chee-Shan Cheung, Yidersal Mellese Gebeyehu, Remon Makram Zaki Ghaly, Sarah Anne Gimbel, Albert Kwesi Mensah, Rosemarie Noble, Diane Hyun Ju Park, Chase Travis Reaume, Cara Petra Weymes, Joanna Zorzitto","Practice Address Not Available suite 11, 421 Greenbrook Dr, Kitchener,ON Kitchener ON N2M4K1"
37,"43.438,-80.502",19,"Brian David Bell, Bridget Megan Mairi Campbell, John Andrew Campbell, Michael William Curtis, Leigh Ann Day, Martin Campbell Dyck, Angela Matthew Good, Kun Huh, Brian Francis Kelly, David Eugene Leveck, Caroline Michele Meyer, Irene Mitrana, Raymond Frederick Nicholson, Sara Rebecca Pendergast, Rupinder Singh Sahsi, Anjali Saxena, Michael John Sehl, Richard Leonard Upenieks, David Kelly Waldbillig",St. Mary's Hospital 911 Queens Boulevard Kitchener ON N2M 1B2
53,"43.448,-80.484",6,"Shiva Adel, Sandhya Vijay Gokhale, Manisha Hladio, Nazneen Sultana Mirza, Mirwais Abdulla Sayar, Michael Christopher Tenki",Unit 302 310 King Street East Kitchener ON N2G 2L3
58,"43.449,-80.516",7,"Mohamed Emad Hussein Abdalla, Robert Norman Bodkin, Andrew Davis, Thomas Richard Irvine, Joe Kim, Robert Alexander Mee, Norman Glenn Pearce",Suite 204 535 Belmont Avenue West Kitchener ON N2M 5E9
59,"43.45,-80.515",7,"Matthew Joseph Barnes, Anthony Ayebakro Davies, Keri Delaney, Satinder Kaur, Muhammad Shahnawaz, Luke Yang Tan, Sean Cannon Welling",Suite 208 564 Belmont Ave W Kitchener ON N2M 5N6
62,"43.452,-80.499",21,"Akshaya Neil Arya, Kelsi Elizabeth Cole, Heather Lynn Dixon, Carolyn Lee Fuss, Danusha Jebanesan, Frederick Joseph Lee, Linda Li-Wen Lee, Michael Frank Lee-Poy, Sandra Oliveira Loureiro, Ryan William Charles McKee, Jordache Robyn McLeod, Upender Kumar Mehan, James Duncan Milligan, Margo Lynn Mountjoy, John Pefanis, Marc Robert Sawyer, Emma Grace Kathleen Scotchmer, Jessica Siu, Adriana Beatrice Stoesser, Yuchen Tang, John Yee",The Centre for Family Medicine I H B 10B Victoria Street South Kitchener ON N2G 1C5
68,"43.456,-80.506",14,"Laura Leigh Lise Andersen, Elzbieta Inez Bednarska, Daniel Lee Brewster, Laurie Ellen Dusseault, Dalia Shaban Dawoud El-Assar, Christopher Johansen, Jennifer Joanne Kays Sommer, Rebecca Jean Lubitz, Wyatt Ross McTavish, Auzair Ahmed Tak, Carly Ann Tapp, Kristopher Varano, Xu Wang, Arthur John Winter",Andrew Street Family Health Centre 16 Andrew Street Kitchener ON N2H 5R2
